Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition
1,181500,20,4,80,9600,4,3,25,2,1,3,6,8,1976,2,9,3,0,4,5,2,3,2,1,978,284,1,2,5,1262,0,0,1,2,0,3,4,6,1,5,2,1976,2,460,3,298,0,5,2007,9,5
2,223500,60,4,68,11250,1,5,6,3,1,6,7,5,2002,2,13,2,162,3,5,3,3,3,3,486,434,1,2,5,920,866,1,0,2,1,3,3,6,1,5,2,2001,2,608,3,0,42,9,2008,9,5
3,140000,70,4,60,9550,1,1,7,3,1,6,7,5,1970,2,14,3,0,4,5,1,4,4,1,216,540,3,2,5,961,756,1,0,1,0,3,3,7,1,3,6,1998,3,642,3,0,35,2,2006,9,1
4,250000,60,4,84,14260,1,3,14,3,1,6,8,5,2000,2,13,2,350,3,5,3,3,1,3,655,490,1,2,5,1145,1053,1,0,2,1,4,3,9,1,5,2,2000,2,836,3,192,84,12,2008,9,5
5,307000,20,4,75,10084,4,5,21,3,1,3,8,5,2005,2,13,4,186,3,5,3,1,1,3,1369,317,1,2,5,1694,0,1,0,2,0,3,3,7,1,3,2,2004,2,636,3,255,57,8,2007,9,5
6,129900,50,5,51,6120,4,5,18,1,1,1,7,5,1950,2,4,3,0,4,5,1,4,4,6,0,952,3,2,2,1022,752,0,0,2,0,2,4,8,2,5,6,1931,3,468,3,90,0,4,2008,9,1
7,118000,190,4,50,7420,4,1,4,1,2,2,5,6,1950,2,9,3,0,4,5,1,4,4,3,851,140,1,2,5,1077,0,1,0,1,0,2,4,5,2,5,2,1939,2,205,3,0,4,1,2008,9,5
8,345000,60,4,85,11924,1,5,16,3,1,6,9,5,2006,4,15,4,286,1,5,3,1,4,3,998,177,1,2,5,1182,1142,1,0,3,0,4,1,11,2,3,4,2005,1,736,3,147,21,7,2006,7,6
9,279500,20,4,91,10652,1,5,6,3,1,3,7,5,2007,2,13,4,306,3,5,3,3,1,6,0,1494,1,2,5,1494,0,0,0,2,0,3,3,7,1,3,2,2006,2,840,3,160,33,8,2007,7,6
10,325300,60,4,101,14215,1,1,16,3,1,6,8,5,2006,2,13,2,380,3,5,3,1,1,6,0,1158,1,2,5,1158,1218,0,0,3,1,4,3,9,1,3,4,2005,2,853,3,240,154,11,2006,7,6
11,139400,45,5,57,7449,4,5,10,3,1,2,7,7,1950,2,14,3,0,4,5,3,4,4,6,0,637,1,2,2,1108,0,0,0,1,0,3,3,6,1,3,2,1930,3,280,1,0,0,6,2007,9,5
12,230000,20,4,75,9742,4,5,6,3,1,3,8,5,2002,4,13,2,281,3,5,3,3,4,6,0,1777,1,2,5,1795,0,0,0,2,0,3,3,7,1,3,2,2002,2,534,3,171,159,9,2008,9,5
13,129900,120,5,44,4224,4,5,11,3,5,3,5,7,1976,2,6,3,0,4,5,3,3,4,3,840,200,5,2,5,1060,0,1,0,1,0,3,4,6,1,5,2,1976,3,572,3,100,110,6,2007,9,5
14,256300,20,4,110,14230,4,1,16,3,1,3,8,5,2007,2,13,4,640,3,5,3,3,4,6,0,1566,1,2,5,1600,0,0,0,2,0,3,3,7,1,3,2,2007,2,890,3,0,56,7,2009,9,5
15,306000,20,4,98,11478,4,5,16,3,1,3,8,5,2008,2,13,4,200,3,5,3,1,4,3,1218,486,1,2,5,1704,0,1,0,2,0,3,3,7,1,3,2,2008,2,772,3,0,50,5,2010,9,5
16,207500,20,4,47,16321,1,2,13,3,1,3,5,6,1997,2,9,3,0,4,5,2,4,2,2,1277,207,5,2,5,1600,0,1,0,1,0,2,4,6,2,3,2,1957,2,319,3,288,258,12,2006,9,5
17,165500,20,4,70,10552,1,5,13,3,1,3,5,5,1959,4,4,3,0,4,5,2,4,4,5,1018,380,3,2,5,1700,0,0,1,1,1,4,3,6,1,3,2,1959,2,447,3,0,38,4,2010,9,5
18,277500,120,4,60,7313,4,5,16,3,5,3,9,5,2005,4,9,2,246,1,5,3,1,4,3,1153,408,1,2,5,1561,0,1,0,2,0,2,1,6,1,3,2,2005,1,556,3,203,47,8,2007,9,5
19,309000,60,4,108,13418,4,5,16,3,1,6,8,5,2005,2,13,4,132,3,5,3,1,1,6,0,1117,1,2,5,1132,1320,0,0,3,1,4,3,9,1,3,4,2004,1,691,3,113,32,9,2006,9,5
20,153000,20,4,74,8532,4,5,13,3,1,3,5,6,1990,4,14,2,650,4,5,2,4,4,5,1213,84,3,2,5,1297,0,0,1,1,0,3,4,5,1,5,2,1954,1,498,3,0,0,10,2009,9,5
21,160000,20,4,84,8658,4,5,13,3,1,3,6,5,1965,2,14,2,101,4,5,2,4,4,5,643,445,1,2,5,1324,0,0,0,2,0,3,4,6,1,5,2,1965,2,440,3,0,138,12,2006,9,1
22,170000,20,4,115,16905,4,5,24,3,1,3,5,6,1959,2,13,3,0,4,3,2,4,2,2,967,383,3,2,5,1328,0,0,1,1,1,2,4,5,2,3,2,1959,2,308,2,0,104,7,2007,9,5
23,319900,120,4,61,7658,4,5,16,3,5,3,9,5,2005,4,9,2,412,1,5,3,1,4,3,456,1296,1,2,5,1752,0,1,0,2,0,2,1,6,1,3,2,2005,2,576,3,196,82,2,2010,9,5
24,239686,50,4,48,12822,1,2,12,3,1,1,7,5,2003,2,13,3,0,3,5,3,1,4,3,1351,83,1,2,5,1518,631,1,0,1,1,1,3,6,1,1,2,2003,2,670,3,168,43,8,2009,9,1
25,114500,50,5,52,6240,4,5,4,3,1,1,6,6,1950,2,14,3,0,4,5,3,4,4,6,0,816,5,2,5,816,0,0,0,1,0,3,4,6,1,3,6,1985,3,528,3,112,0,9,2006,9,5
26,385000,20,4,68,50271,1,5,25,3,1,3,9,5,1987,2,15,3,0,3,5,2,1,2,3,1810,32,3,2,5,1842,0,2,0,0,1,0,3,5,1,3,2,1981,1,894,3,857,72,11,2006,9,5
27,130000,80,4,60,7134,4,5,13,3,1,8,5,5,1955,2,9,3,0,4,5,2,4,4,1,384,0,5,2,5,1360,0,0,0,1,0,3,4,6,1,5,6,1962,3,572,3,0,50,2,2007,9,5
28,180500,20,4,100,10175,1,5,13,3,1,3,6,5,1964,2,7,2,272,4,5,2,4,4,2,490,935,3,2,5,1425,0,0,0,2,0,3,4,7,1,3,2,1964,2,576,3,0,0,7,2008,9,5
29,438780,60,4,66,13682,2,2,22,3,1,6,10,5,2006,4,13,2,1031,1,5,3,1,2,6,0,1410,1,2,5,1426,1519,0,0,3,1,3,3,10,1,3,4,2006,1,641,3,192,0,10,2006,7,6
30,202500,120,4,44,6442,1,5,16,3,5,3,8,5,2006,2,13,4,178,3,5,3,3,3,3,24,1346,1,2,5,1370,0,0,0,2,0,2,3,6,1,3,2,2006,2,484,3,120,49,10,2007,9,5
31,317000,60,4,76,9591,4,5,16,3,1,6,8,5,2005,2,13,2,344,3,5,3,1,1,6,0,1143,1,2,5,1143,1330,0,0,2,1,4,3,9,1,3,4,2004,2,852,3,192,151,10,2007,9,5
32,225000,50,4,81,15593,4,1,5,3,1,1,7,4,1953,2,4,3,0,3,5,2,4,4,2,603,701,5,2,5,1304,983,0,0,2,0,3,4,7,1,5,2,1953,1,667,3,0,21,7,2006,9,5
33,244000,20,4,95,13651,1,5,13,3,1,3,7,6,1973,2,10,2,1115,4,3,2,3,2,1,1880,343,1,2,5,2223,0,1,0,2,0,3,4,8,2,3,2,1973,1,516,3,300,0,2,2007,9,5
34,185000,60,4,74,10141,1,1,9,3,1,6,7,5,1998,2,13,2,40,4,5,3,3,4,6,0,832,3,2,5,885,833,0,0,2,1,3,4,7,1,5,2,1998,1,427,3,0,94,12,2009,9,5
35,193500,60,4,100,13000,4,1,13,3,1,6,6,6,1968,2,13,2,576,4,3,2,3,4,5,448,448,5,2,5,1182,960,0,0,2,1,4,3,8,1,3,2,1968,1,509,3,0,72,6,2009,9,5
36,245000,20,4,78,10206,4,5,21,3,1,3,8,5,2007,2,13,4,468,4,5,3,3,4,3,33,1530,1,2,5,1563,0,0,0,2,0,3,3,6,1,3,2,2007,2,758,3,144,99,10,2008,9,5
37,260000,60,4,121,16059,4,1,14,3,1,6,8,5,1992,4,7,2,284,3,5,2,3,4,6,0,1288,1,2,5,1301,1116,0,0,2,1,4,3,9,1,5,2,1991,3,462,3,127,82,4,2006,9,5
38,174000,60,4,122,11911,2,5,9,3,1,6,6,5,2005,2,13,3,0,3,5,3,3,1,6,0,684,1,2,5,684,876,0,0,2,1,3,3,6,1,3,4,2005,1,400,3,100,38,3,2009,9,5
39,133900,190,1,60,7200,4,1,18,3,2,5,6,6,1998,4,9,3,0,4,5,1,4,3,5,1046,168,1,1,5,1260,1031,0,1,2,0,4,4,9,1,3,6,1900,3,506,3,0,0,11,2007,9,5
40,178000,60,4,77,9206,4,5,20,3,1,6,6,5,1985,2,7,2,336,3,5,2,3,4,6,0,741,5,2,5,977,755,0,0,2,1,3,3,7,1,5,2,1985,1,476,3,192,46,6,2010,9,5
41,250000,60,2,75,9375,4,5,21,3,1,6,8,5,2004,4,13,2,768,3,5,3,1,4,6,0,1053,1,2,5,1053,939,0,0,2,1,3,3,9,1,3,2,2003,2,648,3,140,45,8,2008,9,5
42,190000,20,4,105,11751,1,5,17,3,1,3,6,6,1977,4,10,2,480,4,5,2,3,4,2,705,1139,1,2,5,1844,0,0,0,2,0,3,4,7,1,5,2,1977,2,546,3,0,122,1,2010,1,5
43,383970,60,4,77,9965,4,5,6,3,1,6,7,5,2007,2,13,4,220,3,5,3,1,1,3,984,280,1,2,5,1282,1414,1,0,2,1,4,1,10,1,3,4,2007,1,792,3,120,184,10,2007,7,6
44,259500,70,4,61,7259,1,5,7,3,1,6,6,8,2002,3,14,3,0,4,5,2,4,4,1,774,104,1,2,5,1436,884,1,0,2,1,3,3,9,1,5,6,1945,3,180,3,224,0,7,2007,9,5
45,176000,160,2,34,3230,4,1,21,3,5,6,6,5,1999,2,9,2,1129,4,5,3,3,4,3,419,310,3,2,5,729,729,0,0,2,1,2,4,5,1,2,6,1999,3,440,3,0,32,6,2007,9,5
46,320000,60,4,90,12376,4,1,20,3,1,6,7,5,1990,4,10,3,0,4,5,3,3,3,3,1470,203,3,2,5,1699,1523,1,0,3,0,5,3,11,2,5,2,1990,3,594,3,367,0,5,2010,9,5
47,163990,60,4,65,8461,4,5,6,3,1,6,6,5,2006,2,13,3,0,3,5,3,3,4,6,0,728,1,2,5,728,728,0,0,2,1,3,3,8,1,3,2,2005,1,390,3,0,24,7,2006,7,6
48,181000,20,4,48,17043,1,2,17,3,1,3,6,5,1998,2,7,3,0,4,3,2,3,4,6,0,1362,5,2,5,1586,0,0,0,2,0,3,4,7,1,5,2,1979,3,435,3,192,0,1,2009,9,5
49,155000,60,4,69,7590,4,5,13,5,1,6,6,5,1966,2,13,2,266,4,5,2,4,4,2,512,148,5,2,5,660,688,0,0,1,1,3,4,6,1,2,2,1966,2,453,3,188,108,7,2006,9,5
50,226000,60,4,88,14200,4,1,13,3,1,6,7,6,1966,2,9,2,309,4,5,2,4,4,5,445,479,1,2,5,1216,941,0,0,2,1,4,3,8,2,3,2,1966,1,487,3,105,66,5,2006,9,5
51,180000,20,4,78,10335,1,5,19,3,1,3,5,6,1993,2,10,3,0,4,5,2,4,4,5,570,891,3,2,5,1721,0,0,0,2,1,3,4,7,1,5,2,1968,2,440,3,0,96,7,2006,9,5
52,174000,20,4,80,10400,4,5,17,3,1,3,7,6,1970,4,10,2,288,4,5,3,4,4,6,0,1304,3,2,5,1682,0,0,0,2,0,3,4,7,1,3,2,1970,3,530,3,98,0,5,2008,9,5
53,230000,60,4,73,9066,1,5,6,3,1,6,8,5,2000,2,13,2,320,3,5,3,3,3,3,668,336,1,2,5,1004,848,0,0,2,1,3,3,7,2,5,2,1999,1,660,3,224,106,12,2008,9,5
54,372402,20,4,107,13891,4,5,16,3,1,3,8,5,2008,4,13,4,436,3,5,3,1,2,3,1400,310,1,2,5,1710,0,1,0,2,0,2,3,6,1,3,2,2007,2,866,3,0,102,1,2008,7,6
55,269500,60,4,92,12003,4,1,24,3,1,6,8,5,2010,2,13,2,84,3,5,3,1,4,6,0,774,1,2,5,774,1194,0,0,2,1,4,1,8,1,3,4,2009,1,680,3,0,75,5,2010,7,6
56,254900,60,2,100,12552,4,1,21,3,1,6,7,5,2005,2,13,3,0,3,5,3,3,4,3,222,769,1,2,5,991,956,0,0,2,1,3,3,8,1,3,2,2004,2,678,3,0,136,5,2010,9,5
57,320000,60,4,134,19378,1,1,9,3,1,6,7,5,2006,2,13,2,456,3,5,3,3,3,3,57,1335,1,2,5,1392,1070,1,0,2,1,4,3,9,1,3,2,2006,2,576,3,239,132,3,2006,7,6
58,412500,60,4,110,13688,1,5,16,3,1,6,9,5,2004,2,13,2,664,3,5,3,1,1,3,1016,556,1,2,5,1572,1096,1,0,2,1,3,1,10,2,3,4,2003,1,726,3,400,0,3,2008,9,5
59,220000,20,4,95,12182,4,1,16,3,1,3,7,5,2005,2,13,2,226,3,5,3,3,3,2,1201,340,1,2,5,1541,0,0,0,2,0,3,3,7,1,3,2,2005,2,532,3,0,70,5,2010,7,6
60,325624,60,4,86,10562,4,5,16,3,1,6,8,5,2007,2,13,4,300,3,5,3,1,4,3,1288,294,1,2,5,1610,551,1,0,1,1,3,1,8,1,3,2,2007,1,789,3,178,120,11,2007,7,6
61,183500,60,4,62,8244,1,5,9,3,1,6,7,5,2004,2,13,3,0,3,5,3,3,4,6,0,840,1,2,5,840,880,0,0,2,1,3,3,7,1,3,2,2004,1,440,3,100,48,5,2007,9,5
62,215000,20,4,141,31770,1,1,13,3,1,3,6,5,1960,4,4,4,112,4,5,2,4,2,2,639,441,2,2,5,1656,0,1,0,1,0,3,4,7,2,3,2,1960,1,528,2,210,62,5,2010,9,5
63,239000,160,4,44,5306,1,5,22,3,5,6,7,7,1987,2,7,3,0,3,3,3,3,4,3,495,354,3,2,5,1064,703,1,0,2,0,2,3,5,1,5,2,1987,2,504,3,441,35,6,2006,9,5
64,163000,20,4,80,10197,1,5,13,3,1,3,6,5,1961,2,15,1,491,4,5,2,4,4,1,288,700,5,2,5,1362,0,1,0,1,1,3,4,6,1,5,2,1961,3,504,3,0,20,6,2008,1,5
65,184000,20,4,47,12416,1,5,24,3,1,3,6,5,1986,2,13,4,132,4,5,2,3,4,1,1398,0,5,2,5,1651,0,1,0,2,0,3,4,7,1,5,2,1986,1,616,3,192,0,11,2008,9,5
66,243000,20,4,84,12615,4,1,8,3,1,3,6,7,2001,2,15,3,0,4,5,2,4,1,1,477,725,5,2,5,2158,0,1,0,2,0,4,3,7,1,3,2,1950,3,576,3,0,29,6,2007,9,5
67,211000,60,4,97,10029,1,1,5,3,1,6,6,5,1989,2,10,2,268,3,5,3,3,4,3,831,320,5,2,5,1164,896,0,1,2,1,4,4,8,1,5,2,1988,3,521,3,0,228,9,2007,9,5
68,501837,20,4,63,17423,1,2,22,3,1,3,9,5,2009,4,13,4,748,1,5,3,1,4,3,1904,312,1,2,5,2234,0,1,0,2,0,1,1,9,1,3,2,2009,1,1166,3,0,60,7,2009,7,6
69,200100,70,4,54,7588,4,5,7,3,1,6,7,6,1950,2,12,3,0,4,5,1,2,4,4,352,441,3,2,5,901,901,0,0,1,1,4,4,9,1,3,6,1920,3,216,3,0,0,7,2006,9,5
70,475000,75,5,90,22950,2,5,18,1,1,4,10,9,1993,2,14,3,0,3,3,1,4,3,6,0,1107,1,2,5,1518,1518,0,0,2,1,4,1,12,2,5,6,1993,3,840,3,0,260,6,2006,9,5
71,153337,90,4,64,7018,4,5,20,2,3,7,5,5,1979,2,10,4,275,4,5,2,3,1,3,1086,0,5,2,5,1224,0,2,0,0,2,2,4,6,2,5,6,1979,3,528,3,120,0,6,2009,9,3
72,286000,120,4,41,4923,4,5,22,3,5,3,8,5,2002,2,6,3,0,3,5,3,1,1,3,1153,440,1,2,5,1593,0,1,0,1,1,0,1,5,1,3,2,2001,1,682,3,0,120,8,2008,9,5
73,315000,70,4,70,10570,4,5,7,3,1,6,8,8,1994,4,4,3,0,3,5,2,3,4,5,297,556,5,2,5,1549,1178,0,0,2,1,3,3,10,2,5,6,1932,3,440,3,0,74,12,2007,9,5
74,148500,160,4,24,2280,4,3,15,3,4,6,6,6,1976,2,10,3,0,4,5,2,3,4,1,566,289,5,2,5,855,601,0,0,2,1,3,4,7,1,5,2,1976,3,440,3,87,0,7,2009,9,5
75,311872,20,4,79,9416,4,5,21,3,1,3,7,5,2007,4,6,4,205,1,5,3,1,4,3,1126,600,1,2,5,1726,0,1,0,2,0,3,1,8,1,3,2,2007,1,786,3,171,138,9,2007,7,6
76,235000,75,4,174,25419,4,1,13,1,1,6,8,4,1990,2,12,3,0,3,3,3,4,4,3,1036,140,3,2,5,1360,1360,1,1,2,0,4,3,8,1,1,6,1918,3,795,3,0,16,3,2006,9,1
77,274900,20,4,76,9591,4,5,16,3,1,3,8,5,2005,4,13,2,262,3,5,3,1,1,3,1088,625,1,2,5,1713,0,1,0,2,0,3,1,7,1,3,2,2004,1,856,3,0,26,1,2009,9,5
78,171500,20,4,75,10125,4,5,12,3,1,3,6,6,1977,2,10,3,0,4,5,2,4,4,1,641,276,5,2,5,1279,0,0,1,2,0,3,4,6,2,2,6,1980,3,473,3,238,83,2,2008,9,5
79,143900,20,4,40,13673,1,2,19,6,1,3,5,5,1962,2,7,3,0,4,3,2,4,4,6,0,1140,5,2,5,1696,0,0,0,1,1,3,4,8,1,5,2,1962,2,349,3,0,30,3,2007,9,5
80,252678,60,2,72,8640,4,5,21,3,1,6,7,5,2009,2,13,3,0,4,5,3,3,4,3,822,78,1,2,5,932,920,1,0,2,1,3,3,7,1,5,2,2009,2,644,3,168,108,7,2009,7,6
81,134450,20,4,72,10011,1,5,13,3,1,3,5,6,1996,2,7,2,64,4,5,2,4,4,2,360,710,5,2,5,1236,0,0,1,1,0,2,3,6,1,2,2,1957,3,447,3,0,0,5,2006,9,5
82,179900,60,4,85,11475,4,5,17,7,1,6,6,6,1975,2,13,3,0,4,5,2,3,4,1,550,163,5,2,5,811,741,1,0,2,1,3,4,6,1,5,2,1975,2,434,3,209,208,2,2006,9,5
83,386250,20,4,103,13472,4,5,16,3,1,3,10,5,2003,4,13,2,922,1,5,3,1,2,3,56,2336,1,2,5,2392,0,0,0,2,0,3,1,8,1,1,2,2003,1,968,3,248,105,6,2009,9,5
84,290000,60,4,82,9950,1,5,14,3,1,6,7,5,1995,2,13,2,290,3,5,3,3,4,3,565,638,1,2,5,1214,1306,0,0,2,1,4,3,9,1,5,2,1995,2,721,3,224,114,6,2007,9,1
85,125000,20,4,70,8521,4,3,19,2,1,3,5,5,1967,2,7,3,0,4,5,2,4,4,1,842,70,5,2,5,912,0,0,0,1,0,3,4,5,1,2,6,1974,3,336,3,0,0,5,2010,9,5
86,192500,120,4,43,3182,4,5,1,3,5,3,7,5,2006,2,13,2,16,3,5,3,3,1,3,16,1357,1,2,5,1555,0,0,0,2,0,2,3,7,1,5,2,2005,1,430,3,143,20,5,2009,9,5
87,403000,60,4,174,15138,1,5,14,3,1,6,8,5,1996,2,13,2,506,3,5,3,3,4,3,689,773,1,2,5,1490,1304,1,0,2,1,4,1,9,1,5,2,1995,1,810,3,0,146,7,2009,9,5
88,94500,160,5,21,1680,4,5,3,3,4,6,6,5,1972,2,7,2,297,4,5,2,4,4,6,0,483,5,2,5,483,504,0,0,1,1,2,4,5,1,4,2,1972,3,288,3,0,0,6,2006,9,5
89,113000,50,4,52,8741,4,5,8,3,1,1,6,4,1950,2,13,3,0,4,5,2,4,4,4,94,641,5,2,1,798,689,0,0,1,1,3,4,7,1,3,6,1949,3,220,3,0,140,4,2010,9,5
90,120000,160,4,75,10762,4,1,20,3,5,6,6,6,1980,2,10,3,0,4,5,2,3,4,6,0,626,5,2,5,626,591,0,0,1,1,3,4,6,1,5,2,1980,2,288,3,0,28,4,2009,9,5
91,241500,20,4,80,10400,4,5,17,3,1,3,7,5,1988,2,14,2,102,4,5,2,3,1,3,929,916,3,2,5,1872,0,0,1,2,0,3,4,6,1,5,2,1988,1,604,3,197,39,6,2006,9,5
92,140000,20,4,75,11310,4,5,13,3,1,3,6,5,1954,4,14,3,0,4,5,2,4,4,6,0,1367,1,2,5,1375,0,0,0,1,0,2,4,5,1,5,2,1954,3,451,3,0,30,6,2006,9,5
93,235000,120,5,44,4750,1,5,7,3,5,3,8,5,2007,4,13,4,481,3,5,3,3,2,3,1573,0,1,2,5,1625,0,1,1,2,0,2,3,5,1,3,2,2006,1,538,3,123,0,12,2007,9,4
94,230000,60,4,66,8738,1,5,9,3,1,6,7,5,1999,2,13,2,302,3,5,3,3,4,6,0,975,1,2,5,1005,1286,0,0,2,1,4,3,8,1,5,4,1999,1,429,3,192,0,2,2006,9,5
95,220000,20,4,68,8814,4,5,6,3,1,3,7,5,2006,2,13,4,180,3,5,3,3,4,3,1334,270,1,2,5,1604,0,1,0,2,1,3,3,8,1,3,2,2006,2,660,3,123,110,3,2009,9,1
96,231500,60,4,80,12435,4,5,6,3,1,6,7,5,2001,2,13,2,172,3,5,3,3,4,3,361,602,1,2,5,963,829,0,0,2,1,3,3,7,1,5,2,2001,2,564,3,0,96,5,2008,9,5
97,176000,80,4,120,19296,4,1,13,1,1,8,6,5,1962,2,14,2,399,4,5,2,4,2,5,672,0,5,2,5,1382,0,1,0,1,0,3,4,6,1,5,2,1991,3,884,3,0,0,5,2009,9,5
98,276000,60,4,69,9588,1,5,6,3,1,6,8,5,2007,2,6,4,270,3,5,3,1,4,6,0,1482,1,2,5,1482,1092,0,0,2,1,3,1,10,1,3,4,2007,1,868,3,0,148,11,2007,7,6
99,151000,80,4,88,8471,1,1,19,3,1,8,6,7,1995,2,7,2,46,4,5,2,3,1,1,506,0,5,2,5,1212,0,1,0,1,0,3,4,6,1,5,2,1978,3,492,3,292,12,7,2006,9,5
100,175500,20,4,78,12090,1,5,17,3,1,3,6,6,1981,2,9,2,210,4,3,2,3,4,3,588,606,5,2,5,1422,0,0,0,2,0,3,3,7,1,5,2,1981,1,576,3,276,0,6,2008,9,5
101,185000,60,4,70,11207,1,3,9,3,1,6,6,5,1997,2,13,3,0,4,5,3,3,1,3,714,88,3,2,5,802,709,1,0,2,1,3,4,8,1,5,2,1997,1,413,3,95,75,6,2006,9,5
102,179500,75,4,60,8400,4,5,23,3,1,4,5,8,1997,2,14,3,0,4,5,3,4,4,4,378,342,1,2,5,1052,720,0,0,2,1,4,3,8,1,3,6,1939,3,240,3,262,24,7,2008,9,5
103,120500,30,5,71,6900,4,5,10,3,1,3,5,6,1955,2,13,3,0,4,5,2,4,4,1,403,212,1,2,5,778,0,0,0,1,0,2,4,4,1,3,6,1966,1,924,3,0,25,2,2008,9,5
104,266000,60,2,84,10728,4,5,21,3,1,6,8,5,2006,2,13,3,0,3,5,3,3,3,6,0,1095,3,2,5,1095,844,0,0,2,1,3,3,8,1,3,2,2006,2,1053,3,192,51,8,2006,7,6
105,241500,20,4,73,39104,1,2,5,3,1,3,7,7,2005,1,10,3,0,4,5,2,3,2,4,226,96,1,2,5,1363,0,1,0,1,0,2,4,5,2,5,2,1954,3,439,3,81,0,4,2008,9,5
106,290000,60,4,92,11764,1,2,14,3,1,6,8,7,2007,2,13,2,348,3,5,3,3,4,3,524,628,1,2,5,1164,1106,0,0,2,1,4,3,9,1,3,2,1999,1,671,3,132,57,4,2010,9,5
107,139000,20,4,80,9600,4,5,13,2,1,3,6,6,1988,4,14,1,183,4,5,2,4,4,5,620,0,3,2,5,1632,0,1,0,2,0,3,4,6,1,3,2,1958,2,338,3,289,0,4,2009,9,5
108,415298,20,4,107,14450,4,5,16,3,1,3,9,5,2007,2,6,2,315,1,5,3,1,2,6,0,2121,1,2,5,2121,0,0,0,2,1,3,1,8,1,1,2,2007,1,732,3,124,98,5,2007,7,6
109,192000,60,4,83,10005,4,5,5,3,1,6,7,5,1977,4,10,2,299,4,5,2,3,4,2,392,768,1,2,5,1156,866,0,0,2,1,4,4,8,1,5,2,1977,1,505,3,288,117,3,2008,9,5
110,228500,60,4,82,11287,4,5,20,3,1,6,7,6,1989,2,10,2,340,3,5,2,3,1,3,421,386,3,2,5,1175,807,0,0,2,1,3,3,7,1,5,2,1989,1,575,3,0,84,1,2007,9,5
111,207500,120,4,34,5063,4,5,16,3,4,3,7,5,2008,2,13,4,166,3,5,3,3,4,3,904,410,1,2,5,1314,0,1,0,2,0,2,3,6,1,3,2,2008,2,626,3,172,62,4,2009,5,5
112,244600,20,4,74,9612,4,5,21,2,1,3,8,5,2009,2,13,4,72,3,5,3,3,4,6,0,1468,1,2,5,1468,0,0,0,2,0,3,3,6,1,3,2,2008,1,898,3,210,150,12,2009,7,6
113,159000,50,4,77,9786,1,5,13,3,1,1,6,7,1981,2,14,3,0,4,5,2,4,4,5,600,312,5,2,5,1085,649,0,0,1,1,3,3,7,1,3,2,1962,2,440,3,0,0,6,2006,9,5
